Trials

NORMAL THROW #1
1793 ACCEL: X:0.24, Y:2.53, Z:0.22   GYRO: X:13.78'/s, Y:14.12'/s, Z:173.61'/s
1996 ACCEL: X:-0.57, Y:-0.58, Z:0.02   GYRO: X:-179.59'/s, Y:67.23'/s, Z:253.99'/s
2188 ACCEL: X:-0.18, Y:-0.76, Z:0.02   GYRO: X:164.48'/s, Y:253.99'/s, Z:253.99'/s
2396 ACCEL: X:-0.06, Y:-0.20, Z:0.03   GYRO: X:-113.39'/s, Y:80.15'/s, Z:-256.00'/s
2634 ACCEL: X:-0.27, Y:-0.32, Z:-0.03   GYRO: X:131.10'/s, Y:-126.55'/s, Z:-256.
2817 ACCEL: X:0.02, Y:-0.24, Z:-0.02   GYRO: X:-190.34'/s, Y:-98.95'/s, Z:-256.
3068 ACCEL: X:0.01, Y:0.01, Z:-0.01   GYRO: X:-102.64'/s, Y:-182.40'/s, Z:253.99'/s
3208 ACCEL: X:-7.94, Y:4.07, Z:-7.94   GYRO: X:253.99'/s, Y:230.88'/s, Z:-256.00'/s
3430 ACCEL: X:-0.03, Y:-0.41, Z:0.77   GYRO: X:15.01'/s, Y:125.95'/s, Z:-17.84'/s
3619 ACCEL: X:-0.09, Y:0.28, Z:-0.94   GYRO: X:78.67'/s, Y:-19.63'/s, Z:6.23'/s
3792 ACCEL: X:0.04, Y:0.21, Z:-1.01   GYRO: X:-24.12'/s, Y:19.14'/s, Z:-10.02'/s
4001 ACCEL: X:0.04, Y:0.16, Z:-0.93   GYRO: X:19.34'/s, Y:-20.30'/s, Z:6.27'/s
